date,open,high,low,close,volume
02-01-2014,52.4014,52.5114,51.5429,51.8314,12325600
03-01-2014,52,52.4956,51.8429,51.8714,10817100
06-01-2014,51.89,52.0443,50.4757,51.3671,15501500
07-01-2014,49.6843,49.6986,48.1529,48.5,36167600
08-01-2014,48.1043,49.4257,48.0743,48.7129,20001100
09-01-2014,48.8243,49.14,47.8571,48.15,17007200
10-01-2014,48.2957,48.3767,47.2186,47.4486,16237900
13-01-2014,47.3043,49.81,47.3043,48.1157,27237000
14-01-2014,48.7771,48.8,47.51,48.28,19740000
15-01-2014,47.8571,48.3671,45.5814,47.1971,40432000
16-01-2014,46.9157,47.6957,46.0029,47.3829,21135800
17-01-2014,47.4386,47.8314,46.8914,47.1486,16417100
21-01-2014,47.4614,47.4961,45.75,46.9586,25220300
22-01-2014,47.0714,47.777,46.7644,47.6757,48342000
23-01-2014,55.3429,56.5186,53.9271,55.5314,91280000
24-01-2014,54.8114,55.8143,54.7686,55.1543,35466900
27-01-2014,55.3414,55.9286,52.9371,54.4614,32526900
28-01-2014,54.4743,58.2014,54.3943,58.11,43590400
29-01-2014,57.5886,58.1914,56.8643,57.2029,28968100
30-01-2014,58.1571,58.4557,57.3586,57.81,18379200
31-01-2014,57.4729,58.9143,57.4714,58.4757,23625000
03-02-2014,58.8429,58.8786,57.245,57.7686,20145300
04-02-2014,57.9214,58.3614,56.7157,57.9871,18066300
05-02-2014,57.5929,58.25,56.8571,57.7743,16762900
06-02-2014,58.06,58.7014,57.2029,58.2729,12852000
07-02-2014,59.0629,61.5,58.6514,61.4257,32921000
10-02-2014,61.3471,61.7671,60.6114,61.4914,13812400
11-02-2014,61.4229,62.2512,60.7871,61.9986,13667500
12-02-2014,62.1114,62.1286,60.7914,61.2757,15673000
13-02-2014,60.8129,62.7843,60.7144,62.3643,18700500
14-02-2014,62.4371,62.5286,61.67,62.2157,11985400
18-02-2014,62.4229,63.0349,61.1429,62.4071,15507800
19-02-2014,61.6671,62.3214,61.1386,61.1757,16031400
20-02-2014,61.4786,62.5386,61.3086,62.1357,11965100
21-02-2014,62.6714,62.6714,61.3788,61.7471,13483400
24-02-2014,62.21,64.2414,61.2143,63.8571,26043500
25-02-2014,64.2857,65.3986,63.5714,64.7186,18700500
26-02-2014,65.1286,65.1429,63.7143,64.1129,15010100
27-02-2014,63.9771,64.8752,63.9771,64.6043,10304700
28-02-2014,64.7329,64.8857,63,63.6614,15751400
03-03-2014,63.0271,63.6786,62.5857,63.6557,13528200
04-03-2014,64.4171,65,63.6557,64.9971,12387900
05-03-2014,64.8557,65.2629,64.5586,64.7857,10868900
06-03-2014,64.9914,65.4286,64.1411,64.3586,11809000
07-03-2014,64.8671,64.9343,63.6443,64.0529,11573800
10-03-2014,64.0671,64.1109,61.7287,62.85,15439200
11-03-2014,63.2343,63.8114,62.2357,62.4971,10448200
12-03-2014,61.9543,62.7857,61.3829,62.3686,12134500
13-03-2014,62.8157,62.8971,61.1829,61.4371,11390400
14-03-2014,61.1043,62.1414,60.4286,60.6414,14989100
17-03-2014,61.17,61.5429,60.33,60.3886,10695300
18-03-2014,60.3386,60.8943,59.5,60.0357,14688100
19-03-2014,59.9814,60.7784,59.58,60.0129,10531500
20-03-2014,59.9529,61.7429,59.9286,60.61,14494900
21-03-2014,60.8714,61.1914,57.9629,57.9986,26770800
24-03-2014,57.9271,58.0643,52.6571,54.1286,42483700
25-03-2014,54.1429,54.99,52.25,52.9771,30356900
26-03-2014,53.2871,53.9214,52.3673,53.1829,27152300
27-03-2014,53.0014,53.9757,51.6471,52.0257,28672000
28-03-2014,51.46,52.7143,50.8214,51.2671,24699500
31-03-2014,51.6443,52.4086,49.9829,50.29,22125600
01-04-2014,50.25,52.1786,50.2486,52.0986,21338800
02-04-2014,52.2371,53.0071,51.1857,51.84,24194100
03-04-2014,51.6186,52.1571,50.0143,50.67,21983500
04-04-2014,50.7786,50.8571,47.9829,48.1871,34958000
07-04-2014,48.6443,49.7414,47.3014,48.2857,37351300
08-04-2014,48.5786,50.1124,48.3414,49.8414,25761400
09-04-2014,50.1471,50.5571,49.0214,50.4329,20511400
10-04-2014,50.64,51.0686,47.7157,47.8186,24871000
11-04-2014,47.2571,47.8314,46.23,46.6729,30146200
14-04-2014,47.5557,47.8571,46.5057,47.3686,17994200
15-04-2014,47.0114,47.3671,44.5857,46.61,30799300
16-04-2014,47.2929,47.71,46.1943,47.3443,16114700
17-04-2014,48.1086,49.9614,47.5,49.3914,32116000
21-04-2014,49.9,49.9143,48.3286,49.7843,47892600
22-04-2014,53.8043,54.4114,52.1186,53.2714,64702400
23-04-2014,51.8186,52.5,50.4286,50.5,40285000
24-04-2014,50.3571,50.8427,47.8286,49.1529,30639000
25-04-2014,48.2086,48.7728,46,46.0114,33071500
28-04-2014,45.4357,45.8429,42.7857,44.8871,47123300
