date,open,high,low,close,volume
02-01-2014,27.9728,28.0303,27.7923,27.9142,72782000
03-01-2014,27.9613,28.0097,27.7088,27.7105,66600000
06-01-2014,27.9114,28.0581,27.7467,28.0195,70700000
07-01-2014,28.2121,28.5805,28.1158,28.5597,102000000
08-01-2014,28.7387,28.7718,28.42,28.6191,89610000
09-01-2014,28.6745,28.6941,28.2261,28.3435,83296000
10-01-2014,28.5652,28.5652,28.1431,28.342,85654000
13-01-2014,28.249,28.7615,28.0157,28.1614,96658000
14-01-2014,28.5368,28.8641,28.2896,28.824,99204000
15-01-2014,28.914,28.9644,28.6833,28.8044,77928000
16-01-2014,28.8165,29.0379,28.7889,28.995,67288000
17-01-2014,29.0108,29.1056,28.6936,28.8523,107942000
21-01-2014,29.1131,29.1901,28.8716,29.1826,79116000
22-01-2014,29.2556,29.2877,29.0612,29.2157,62792000
23-01-2014,29.0898,29.1522,28.9486,29.0923,77886000
24-01-2014,28.8644,28.9278,28.1619,28.1827,155544000
27-01-2014,28.2397,28.2497,27.1405,27.616,173968000
28-01-2014,27.844,28.2309,27.8344,28.1622,88318000
29-01-2014,28.0646,28.1306,27.5706,27.7587,95100000
30-01-2014,28.7136,28.9015,28.2685,28.4726,203452000
31-01-2014,29.3744,29.7554,28.8674,29.6157,222428000
03-02-2014,29.5713,29.6345,28.3876,28.4235,182580000
04-02-2014,28.5378,28.9644,28.5133,28.5421,112362000
05-02-2014,28.673,28.8583,28.2878,28.6685,95684000
06-02-2014,28.8674,29.0938,28.7776,29.0888,77786000
07-02-2014,29.2811,29.5387,29.1038,29.5271,105342000
10-02-2014,29.3857,29.6515,29.316,29.414,77730000
11-02-2014,29.5956,29.889,29.396,29.8466,81948000
12-02-2014,29.817,29.8421,29.626,29.7591,68910000
13-02-2014,29.6102,30.0904,29.5828,30.0904,73382000
14-02-2014,29.9828,30.203,29.9123,30.1631,87380000
18-02-2014,30.1283,30.4156,30.0929,30.3657,84270000
19-02-2014,30.2258,30.3241,30.0302,30.1516,84058000
20-02-2014,30.1716,30.2654,30.0984,30.196,67962000
21-02-2014,30.2887,30.3404,30.1641,30.1879,74416000
24-02-2014,30.2273,30.5985,30.2208,30.4066,66904000
25-02-2014,30.4926,30.7073,30.3542,30.5944,57490000
26-02-2014,30.6948,30.8171,30.438,30.5987,79208000
27-02-2014,30.5541,30.7008,30.5195,30.5746,50348000
28-02-2014,30.603,30.6995,30.2489,30.4854,92450000
03-03-2014,30.2622,30.2895,29.8958,30.1604,84106000
04-03-2014,30.4691,30.4941,30.3311,30.4668,58648000
05-03-2014,30.4703,30.6717,30.379,30.5508,49362000
06-03-2014,30.6516,30.7484,30.5593,30.5847,50672000
07-03-2014,30.765,30.7697,30.3798,30.4638,60542000
10-03-2014,30.4864,30.5353,30.1955,30.383,48534000
11-03-2014,30.4382,30.452,30.0086,30.0926,68450000
12-03-2014,30.0026,30.2898,29.6964,30.276,78492000
13-03-2014,30.2923,30.3562,29.7107,29.8185,93730000
14-03-2014,29.6412,29.8639,29.404,29.4108,91664000
17-03-2014,29.5725,30.0194,29.5439,29.8948,86396000
18-03-2014,29.9592,30.382,29.9189,30.3753,72526000
19-03-2014,30.3888,30.3936,29.9527,30.0741,64450000
20-03-2014,30.0916,30.3339,29.9765,30.0217,67320000
21-03-2014,30.2511,30.3344,29.6528,29.6676,128210000
24-03-2014,29.6964,29.7142,28.7375,29.0379,121362000
25-03-2014,29.2403,29.3366,28.7638,29.0577,96310000
26-03-2014,29.1402,29.3799,28.3751,28.3869,103096000
27-03-2014,28.3588,28.3861,27.6378,27.9433,152734000
28-03-2014,28.0616,28.4175,28.0308,28.0905,90264000
31-03-2014,28.3475,28.4629,27.9074,27.949,77614000
01-04-2014,28.0935,28.5256,28.0365,28.4601,43620000
02-04-2014,28.6359,28.7086,28.187,28.4654,83360000
03-04-2014,28.6695,29.415,28.3005,28.575,80366000
04-04-2014,28.9275,28.9859,27.2247,27.2625,107274000
07-04-2014,27.2395,27.4925,26.5265,27.0315,79232000
08-04-2014,27.2525,27.994,27.235,27.8755,69650000
09-04-2014,28.292,28.39,27.769,28.352,60632000
10-04-2014,28.4,28.4105,27.275,27.3345,65890000
11-04-2014,26.897,27.3795,26.67,26.888,63494000
14-04-2014,27.183,27.651,27.026,27.26,50824000
15-04-2014,27.55,27.6445,26.532,27.435,79956000
16-04-2014,27.885,28.2,27.655,28.195,91644000
17-04-2014,27.816,27.85,26.97,27.167,112294000
21-04-2014,27.2,27.2,26.7,26.9685,48502000
22-04-2014,26.8,27.3998,26.8,27.275,46622000
23-04-2014,27.1835,27.24,26.4064,26.8755,39114000
24-04-2014,27.0845,27.125,26.55,26.722,41348000
25-04-2014,26.613,26.693,26.125,26.155,47400000
28-04-2014,26.29,26.295,25.55,26.149,75056000
29-04-2014,26.1945,26.888,26.15,26.8165,50704000
30-04-2014,26.756,26.817,26.4545,26.744,40770000
01-05-2014,26.7125,26.9955,26.643,26.9265,40086000
